SiPM 7036  (-303.225,-241.025,-22.8)
SiPM 7037  (-303.225,-225.475,-22.8)
SiPM 7038  (-303.225,-209.925,-22.8)
SiPM 7039  (-303.225,-194.375,-22.8)
SiPM 7040  (-287.675,-303.225,-22.8)
SiPM 7041  (-287.675,-287.675,-22.8)
SiPM 7042  (-287.675,-272.125,-22.8)
SiPM 7043  (-287.675,-256.575,-22.8)
SiPM 7044  (-287.675,-241.025,-22.8)
SiPM 7045  (-287.675,-225.475,-22.8)
SiPM 7046  (-287.675,-209.925,-22.8)
SiPM 7047  (-287.675,-194.375,-22.8)
SiPM 7048  (-272.125,-303.225,-22.8)
SiPM 7049  (-272.125,-287.675,-22.8)
SiPM 7050  (-272.125,-272.125,-22.8)
SiPM 7051  (-272.125,-256.575,-22.8)
SiPM 7052  (-272.125,-241.025,-22.8)
SiPM 7053  (-272.125,-225.475,-22.8)
SiPM 7054  (-272.125,-209.925,-22.8)
SiPM 7055  (-272.125,-194.375,-22.8)
SiPM 7056  (-256.575,-303.225,-22.8)
SiPM 7057  (-256.575,-287.675,-22.8)
SiPM 7058  (-256.575,-272.125,-22.8)
SiPM 7059  (-256.575,-256.575,-22.8)
SiPM 7060  (-256.575,-241.025,-22.8)
SiPM 7061  (-256.575,-225.475,-22.8)
SiPM 7062  (-256.575,-209.925,-22.8)
SiPM 7063  (-256.575,-194.375,-22.8)
SiPM 8000  (-365.425,-178.825,-22.8)
SiPM 8001  (-365.425,-163.275,-22.8)
SiPM 8002  (-365.425,-147.725,-22.8)
SiPM 8003  (-365.425,-132.175,-22.8)
SiPM 8004  (-365.425,-116.625,-22.8)
SiPM 8005  (-365.425,-101.075,-22.8)
SiPM 8006  (-365.425,-85.525,-22.8)
SiPM 8007  (-365.425,-69.975,-22.8)
SiPM 8008  (-349.875,-178.825,-22.8)
SiPM 8009  (-349.875,-163.275,-22.8)
SiPM 8010  (-349.875,-147.725,-22.8)
SiPM 8011  (-349.875,-132.175,-22.8)
SiPM 8012  (-349.875,-116.625,-22.8)
SiPM 8013  (-349.875,-101.075,-22.8)
SiPM 8014  (-349.875,-85.525,-22.8)
SiPM 8015  (-349.875,-69.975,-22.8)
SiPM 8016  (-334.325,-178.825,-22.8)
SiPM 8017  (-334.325,-163.275,-22.8)
SiPM 8018  (-334.325,-147.725,-22.8)
SiPM 8019  (-334.325,-132.175,-22.8)
SiPM 8020  (-334.325,-116.625,-22.8)
SiPM 8021  (-334.325,-101.075,-22.8)
SiPM 8022  (-334.325,-85.525,-22.8)
SiPM 8023  (-334.325,-69.975,-22.8)
SiPM 8024  (-318.775,-178.825,-22.8)
SiPM 8025  (-318.775,-163.275,-22.8)
SiPM 8026  (-318.775,-147.725,-22.8)
SiPM 8027  (-318.775,-132.175,-22.8)
SiPM 8028  (-318.775,-116.625,-22.8)
SiPM 8029  (-318.775,-101.075,-22.8)
SiPM 8030  (-318.775,-85.525,-22.8)
SiPM 8031  (-318.775,-69.975,-22.8)
SiPM 8032  (-303.225,-178.825,-22.8)
SiPM 8033  (-303.225,-163.275,-22.8)
SiPM 8034  (-303.225,-147.725,-22.8)
SiPM 8035  (-303.225,-132.175,-22.8)
SiPM 8036  (-303.225,-116.625,-22.8)
SiPM 8037  (-303.225,-101.075,-22.8)
SiPM 8038  (-303.225,-85.525,-22.8)
SiPM 8039  (-303.225,-69.975,-22.8)
SiPM 8040  (-287.675,-178.825,-22.8)
SiPM 8041  (-287.675,-163.275,-22.8)
SiPM 8042  (-287.675,-147.725,-22.8)
SiPM 8043  (-287.675,-132.175,-22.8)
SiPM 8044  (-287.675,-116.625,-22.8)
SiPM 8045  (-287.675,-101.075,-22.8)
SiPM 8046  (-287.675,-85.525,-22.8)
SiPM 8047  (-287.675,-69.975,-22.8)
SiPM 8048  (-272.125,-178.825,-22.8)
SiPM 8049  (-272.125,-163.275,-22.8)
SiPM 8050  (-272.125,-147.725,-22.8)
